The data.txt and guide.txt are CORRECT. 
All planes of the figure were successfully generated. 
The figure were rotated to anpha = beta = 0. 
All segments belong the Figure were identified SUCCESSFULLY. 
All segments belong the Figure were identified SUCCESSFULLY. 
Position      Area(m2)          Volume(m3)
   -73      -1510        0.002027             0.000001 
   -72      -1509        0.024143             0.000014 
   -71      -1508        0.070620             0.000061 
   -70      -1507        0.141457             0.000168 
   -69      -1506        0.236655             0.000357 
   -68      -1505        0.356212             0.000653 
   -67      -1504        0.500130             0.001081 
   -66      -1503        0.668408             0.001665 
   -65      -1502        0.861046             0.002430 
   -64      -1501        1.078045             0.003400 
   -63      -1500        1.319404             0.004598 
   -62      -1499        1.585123             0.006051 
   -61      -1498        1.875202             0.007781 
   -60      -1497        2.189642             0.009813 
   -59      -1496        2.528441             0.012172 
   -58      -1495        2.891601             0.014882 
   -57      -1494        3.279122             0.017968 
   -56      -1493        3.691002             0.021453 
   -55      -1492        4.127243             0.025362 
   -54      -1491        4.587844             0.029719 
   -53      -1490        5.072805             0.034550 
   -52      -1489        5.582126             0.039877 
   -51      -1488        6.115808             0.045726 
   -50      -1487        6.673850             0.052121 
   -49      -1486        7.256252             0.059086 
   -48      -1485        7.863014             0.066646 
   -47      -1484        8.494137             0.074824 
   -46      -1483        9.149620             0.083646 
   -45      -1482        9.829463             0.093136 
   -44      -1481       10.533666             0.103317 
   -43      -1480       11.262230             0.114215 
   -42      -1479       12.015154             0.125854 
   -41      -1478       12.792438             0.138258 
   -40      -1477       13.594082             0.151451 
   -39      -1476       14.420086             0.165458 
   -38      -1475       15.270451             0.180303 
   -37      -1474       16.145176             0.196011 
   -36      -1473       17.044261             0.212606 
   -35      -1472       17.967197             0.230112 
   -34      -1471       18.897898             0.248544 
   -33      -1470       19.828702             0.267907 
   -32      -1469       20.759609             0.288202 
   -31      -1468       21.690618             0.309427 
   -30      -1467       22.621729             0.331583 
   -29      -1466       23.552943             0.354670 
   -28      -1465       24.484260             0.378689 
   -27      -1464       25.415679             0.403639 
   -26      -1463       26.347201             0.429520 
   -25      -1462       27.278825             0.456333 
   -24      -1461       28.210552             0.484078 
   -23      -1460       29.142381             0.512754 
   -22      -1459       30.074313             0.542363 
   -21      -1458       31.006347             0.572903 
   -20      -1457       31.938484             0.604375 
   -19      -1456       32.870724             0.636780 
   -18      -1455       33.803066             0.670117 
   -17      -1454       34.735510             0.704386 
   -16      -1453       35.668057             0.739588 
   -15      -1452       36.600707             0.775722 
   -14      -1451       37.533459             0.812790 
   -13      -1450       38.466313             0.850789 
   -12      -1449       39.399271             0.889722 
   -11      -1448       40.332330             0.929588 
   -10      -1447       41.265493             0.970387 
    -9      -1446       42.198757             1.012119 
    -8      -1445       43.132125             1.054784 
    -7      -1444       44.065594             1.098383 
    -6      -1443       44.999167             1.142916 
    -5      -1442       45.932842             1.188382 
    -4      -1441       46.866619             1.234781 
    -3      -1440       47.800499             1.282115 
    -2      -1439       48.734482             1.330382 
    -1      -1438       49.668521             1.379584 
     0      -1437       50.589118             1.429713 
     1      -1436       51.485614             1.480750 
     2      -1435       52.358010             1.532672 
     3      -1434       53.206305             1.585454 
     4      -1433       54.030499             1.639073 
     5      -1432       54.830592             1.693503 
     6      -1431       55.606585             1.748722 
     7      -1430       56.358476             1.804704 
     8      -1429       57.086267             1.861427 
     9      -1428       57.789957             1.918865 
    10      -1427       58.469546             1.976994 
    11      -1426       59.125035             2.035792 
    12      -1425       59.756422             2.095232 
    13      -1424       60.363709             2.155293 
    14      -1423       60.946895             2.215948 
    15      -1422       61.505980             2.277174 
    16      -1421       62.040965             2.338948 
    17      -1420       62.551848             2.401244 
    18      -1419       63.038631             2.464039 
    19      -1418       63.501313             2.527309 
    20      -1417       63.939894             2.591030 
    21      -1416       64.354375             2.655177 
    22      -1415       64.744754             2.719727 
    23      -1414       65.111033             2.784655 
    24      -1413       65.453211             2.849937 
    25      -1412       65.771288             2.915549 
    26      -1411       66.065265             2.981467 
    27      -1410       66.335140             3.047667 
    28      -1409       66.580915             3.114125 
    29      -1408       66.802589             3.180817 
    30      -1407       67.000162             3.247719 
    31      -1406       67.173635             3.314805 
    32      -1405       67.323006             3.382054 
    33      -1404       67.448277             3.449439 
    34      -1403       67.549447             3.516938 
    35      -1402       67.626516             3.584526 
    36      -1401       67.679485             3.652179 
    37      -1400       67.708352             3.719873 
    38      -1399       67.715247             3.787585 
    39      -1398       67.718090             3.855302 
    40      -1397       67.720934             3.923021 
    41      -1396       67.723777             3.990744 
    42      -1395       67.726621             4.058469 
    43      -1394       67.729464             4.126197 
    44      -1393       67.732308             4.193928 
    45      -1392       67.735151             4.261661 
    46      -1391       67.737995             4.329398 
    47      -1390       67.740838             4.397137 
    48      -1389       67.743682             4.464880 
    49      -1388       67.746525             4.532625 
    50      -1387       67.749369             4.600373 
    51      -1386       67.752212             4.668123 
    52      -1385       67.755056             4.735877 
    53      -1384       67.757899             4.803634 
    54      -1383       67.760743             4.871393 
    55      -1382       67.763586             4.939155 
    56      -1381       67.766430             5.006920 
    57      -1380       67.769273             5.074688 
    58      -1379       67.772117             5.142459 
    59      -1378       67.774960             5.210232 
    60      -1377       67.777804             5.278009 
    61      -1376       67.780647             5.345788 
    62      -1375       67.783491             5.413570 
    63      -1374       67.786334             5.481355 
    64      -1373       67.789178             5.549143 
    65      -1372       67.792021             5.616933 
    66      -1371       67.794865             5.684727 
    67      -1370       67.797708             5.752523 
    68      -1369       67.800552             5.820322 
    69      -1368       67.803395             5.888124 
    70      -1367       67.806239             5.955929 
    71      -1366       67.809082             6.023736 
    72      -1365       67.811926             6.091547 
    73      -1364       67.814769             6.159360 
    74      -1363       67.817613             6.227176 
    75      -1362       67.820456             6.294996 
    76      -1361       67.823300             6.362817 
    77      -1360       67.826143             6.430642 
    78      -1359       67.828986             6.498470 
    79      -1358       67.831830             6.566300 
    80      -1357       67.834673             6.634133 
    81      -1356       67.837517             6.701969 
    82      -1355       67.840360             6.769808 
    83      -1354       67.843204             6.837650 
    84      -1353       67.846047             6.905495 
    85      -1352       67.848891             6.973342 
    86      -1351       67.851734             7.041193 
    87      -1350       67.854577             7.109046 
    88      -1349       67.857421             7.176902 
    89      -1348       67.860264             7.244761 
    90      -1347       67.863108             7.312622 
    91      -1346       67.865951             7.380487 
    92      -1345       67.868795             7.448354 
    93      -1344       67.871638             7.516224 
    94      -1343       67.874481             7.584097 
    95      -1342       67.877325             7.651973 
    96      -1341       67.880168             7.719852 
    97      -1340       67.883012             7.787734 
    98      -1339       67.885855             7.855618 
    99      -1338       67.888699             7.923505 
   100      -1337       67.891542             7.991395 
   101      -1336       67.894385             8.059288 
   102      -1335       67.897229             8.127184 
   103      -1334       67.900072             8.195083 
   104      -1333       67.902916             8.262984 
   105      -1332       67.905759             8.330889 
   106      -1331       67.908602             8.398796 
   107      -1330       67.911446             8.466706 
   108      -1329       67.914289             8.534619 
   109      -1328       67.917133             8.602535 
   110      -1327       67.919976             8.670453 
