The data.txt and guide.txt are CORRECT. 
All planes of the figure were successfully generated. 
The figure were rotated to anpha = beta = 0. 
All segments belong the Figure were identified SUCCESSFULLY. 
All segments belong the Figure were identified SUCCESSFULLY. 
Position      Area(m2)          Volume(m3)
   -59      -1472        0.007820             0.000004 
   -58      -1471        0.240827             0.000128 
   -57      -1470        0.796408             0.000647 
   -56      -1469        1.488267             0.001789 
   -55      -1468        2.180942             0.003624 
   -54      -1467        2.874432             0.006151 
   -53      -1466        3.568738             0.009373 
   -52      -1465        4.263858             0.013289 
   -51      -1464        4.959794             0.017901 
   -50      -1463        5.656545             0.023209 
   -49      -1462        6.354111             0.029215 
   -48      -1461        7.052492             0.035918 
   -47      -1460        7.751688             0.043320 
   -46      -1459        8.451700             0.051422 
   -45      -1458        9.152527             0.060224 
   -44      -1457        9.854168             0.069727 
   -43      -1456       10.556626             0.079933 
   -42      -1455       11.259898             0.090841 
   -41      -1454       11.963985             0.102453 
   -40      -1453       12.668888             0.114769 
   -39      -1452       13.374606             0.127791 
   -38      -1451       14.081139             0.141519 
   -37      -1450       14.788487             0.155954 
   -36      -1449       15.496651             0.171096 
   -35      -1448       16.205629             0.186947 
   -34      -1447       16.915423             0.203508 
   -33      -1446       17.625932             0.220779 
   -32      -1445       18.336524             0.238760 
   -31      -1444       19.047090             0.257452 
   -30      -1443       19.757630             0.276854 
   -29      -1442       20.468144             0.296967 
   -28      -1441       21.178631             0.317790 
   -27      -1440       21.889092             0.339324 
   -26      -1439       22.599527             0.361568 
   -25      -1438       23.309936             0.384523 
   -24      -1437       24.020319             0.408188 
   -23      -1436       24.730675             0.432564 
   -22      -1435       25.441005             0.457650 
   -21      -1434       26.151309             0.483446 
   -20      -1433       26.861587             0.509952 
   -19      -1432       27.571838             0.537169 
   -18      -1431       28.282064             0.565096 
   -17      -1430       28.992263             0.593733 
   -16      -1429       29.702436             0.623080 
   -15      -1428       30.412582             0.653138 
   -14      -1427       31.122703             0.683906 
   -13      -1426       31.832797             0.715383 
   -12      -1425       32.542865             0.747571 
   -11      -1424       33.252907             0.780469 
   -10      -1423       33.962923             0.814077 
    -9      -1422       34.672912             0.848395 
    -8      -1421       35.382875             0.883423 
    -7      -1420       36.092812             0.919161 
    -6      -1419       36.802723             0.955608 
    -5      -1418       37.512608             0.992766 
    -4      -1417       38.222466             1.030634 
    -3      -1416       38.932298             1.069211 
    -2      -1415       39.642104             1.108498 
    -1      -1414       40.351884             1.148495 
     0      -1413       41.061637             1.189202 
     1      -1412       41.771364             1.230618 
     2      -1411       42.481066             1.272745 
     3      -1410       43.190740             1.315581 
     4      -1409       43.900389             1.359126 
     5      -1408       44.610012             1.403381 
     6      -1407       45.319608             1.448346 
     7      -1406       46.029178             1.494021 
     8      -1405       46.738722             1.540404 
     9      -1404       47.448239             1.587498 
    10      -1403       48.157731             1.635301 
    11      -1402       48.867196             1.683813 
    12      -1401       49.576635             1.733035 
    13      -1400       50.286047             1.782967 
    14      -1399       50.995434             1.833607 
    15      -1398       51.704794             1.884958 
    16      -1397       52.414128             1.937017 
    17      -1396       53.123436             1.989786 
    18      -1395       53.832718             2.043264 
    19      -1394       54.541974             2.097451 
    20      -1393       55.251203             2.152348 
    21      -1392       55.960406             2.207954 
    22      -1391       56.669583             2.264269 
    23      -1390       57.378733             2.321293 
    24      -1389       58.087858             2.379026 
    25      -1388       58.796956             2.437468 
    26      -1387       59.503005             2.496618 
    27      -1386       60.016860             2.556378 
    28      -1385       60.226132             2.616500 
    29      -1384       60.233522             2.676730 
    30      -1383       60.236042             2.736964 
    31      -1382       60.238563             2.797202 
    32      -1381       60.241083             2.857442 
    33      -1380       60.243604             2.917684 
    34      -1379       60.246124             2.977929 
    35      -1378       60.248644             3.038176 
    36      -1377       60.251165             3.098426 
