The data.txt and guide.txt are CORRECT. 
All planes of the figure were successfully generated. 
The figure were rotated to anpha = beta = 0. 
All segments belong the Figure were identified SUCCESSFULLY. 
All segments belong the Figure were identified SUCCESSFULLY. 
Position      Area(m2)          Volume(m3)
   -59      -1472        0.009397             0.000005 
   -58      -1471        0.242341             0.000131 
   -57      -1470        0.787520             0.000645 
   -56      -1469        1.474796             0.001777 
   -55      -1468        2.162888             0.003595 
   -54      -1467        2.851795             0.006103 
   -53      -1466        3.541516             0.009299 
   -52      -1465        4.232053             0.013186 
   -51      -1464        4.923404             0.017764 
   -50      -1463        5.615571             0.023033 
   -49      -1462        6.308553             0.028996 
   -48      -1461        7.002349             0.035651 
   -47      -1460        7.696961             0.043001 
   -46      -1459        8.392388             0.051045 
   -45      -1458        9.088629             0.059786 
   -44      -1457        9.785686             0.069223 
   -43      -1456       10.483557             0.079358 
   -42      -1455       11.182244             0.090191 
   -41      -1454       11.881746             0.101723 
   -40      -1453       12.582062             0.113954 
   -39      -1452       13.283194             0.126887 
   -38      -1451       13.985141             0.140521 
   -37      -1450       14.687902             0.154858 
   -36      -1449       15.391479             0.169897 
   -35      -1448       16.095871             0.185641 
   -34      -1447       16.801077             0.202090 
   -33      -1446       17.507013             0.219244 
   -32      -1445       18.213050             0.237104 
   -31      -1444       18.919059             0.255670 
   -30      -1443       19.625043             0.274942 
   -29      -1442       20.331000             0.294920 
   -28      -1441       21.036931             0.315604 
   -27      -1440       21.742836             0.336994 
   -26      -1439       22.448714             0.359089 
   -25      -1438       23.154566             0.381891 
   -24      -1437       23.860392             0.405399 
   -23      -1436       24.566191             0.429612 
   -22      -1435       25.271964             0.454531 
   -21      -1434       25.977711             0.480156 
   -20      -1433       26.683431             0.506486 
   -19      -1432       27.389125             0.533523 
   -18      -1431       28.094793             0.561265 
   -17      -1430       28.800434             0.589712 
   -16      -1429       29.506049             0.618865 
   -15      -1428       30.211638             0.648724 
   -14      -1427       30.917200             0.679289 
   -13      -1426       31.622737             0.710559 
   -12      -1425       32.328246             0.742534 
   -11      -1424       33.033730             0.775215 
   -10      -1423       33.739187             0.808602 
    -9      -1422       34.444618             0.842693 
    -8      -1421       35.150022             0.877491 
    -7      -1420       35.855400             0.912994 
    -6      -1419       36.560752             0.949202 
    -5      -1418       37.266077             0.986115 
    -4      -1417       37.971376             1.023734 
    -3      -1416       38.676649             1.062058 
    -2      -1415       39.381896             1.101087 
    -1      -1414       40.087116             1.140822 
     0      -1413       40.792310             1.181261 
     1      -1412       41.497477             1.222406 
     2      -1411       42.202618             1.264256 
     3      -1410       42.907733             1.306811 
     4      -1409       43.612822             1.350072 
     5      -1408       44.317884             1.394037 
     6      -1407       45.022920             1.438707 
     7      -1406       45.727929             1.484083 
     8      -1405       46.432913             1.530163 
     9      -1404       47.137870             1.576949 
    10      -1403       47.842800             1.624439 
    11      -1402       48.547704             1.672634 
    12      -1401       49.252582             1.721534 
    13      -1400       49.957434             1.771139 
    14      -1399       50.662259             1.821449 
    15      -1398       51.367058             1.872464 
    16      -1397       52.071831             1.924183 
    17      -1396       52.776577             1.976608 
    18      -1395       53.481297             2.029736 
    19      -1394       54.185991             2.083570 
    20      -1393       54.890658             2.138108 
    21      -1392       55.595299             2.193351 
    22      -1391       56.299914             2.249299 
    23      -1390       57.004502             2.305951 
    24      -1389       57.709064             2.363308 
    25      -1388       58.413600             2.421369 
    26      -1387       59.114073             2.480133 
    27      -1386       59.622442             2.539501 
    28      -1385       59.836096             2.599231 
    29      -1384       59.845517             2.659071 
    30      -1383       59.848038             2.718918 
    31      -1382       59.850559             2.778768 
    32      -1381       59.853080             2.838619 
    33      -1380       59.855601             2.898474 
    34      -1379       59.858122             2.958331 
    35      -1378       59.860643             3.018190 
    36      -1377       59.863163             3.078052 
    37      -1376       59.865684             3.137916 
    38      -1375       59.868205             3.197783 
    39      -1374       59.870726             3.257653 
    40      -1373       59.873246             3.317525 
    41      -1372       59.875767             3.377399 
    42      -1371       59.878288             3.437276 
    43      -1370       59.880808             3.497156 
    44      -1369       59.883329             3.557038 
    45      -1368       59.885850             3.616922 
    46      -1367       59.888370             3.676810 
    47      -1366       59.890891             3.736699 
    48      -1365       59.893412             3.796591 
    49      -1364       59.895932             3.856486 
    50      -1363       59.898453             3.916383 
    51      -1362       59.900973             3.976283 
    52      -1361       59.903494             4.036185 
    53      -1360       59.906014             4.096090 
    54      -1359       59.908535             4.155997 
    55      -1358       59.911055             4.215907 
    56      -1357       59.913575             4.275819 
    57      -1356       59.916096             4.335734 
    58      -1355       59.918616             4.395651 
    59      -1354       59.921137             4.455571 
    60      -1353       59.923657             4.515494 
    61      -1352       59.926177             4.575419 
    62      -1351       59.928698             4.635346 
    63      -1350       59.931218             4.695276 
    64      -1349       59.933738             4.755209 
    65      -1348       59.936259             4.815144 
    66      -1347       59.938779             4.875081 
    67      -1346       59.941299             4.935021 
    68      -1345       59.943819             4.994964 
    69      -1344       59.946339             5.054909 
    70      -1343       59.948860             5.114856 
    71      -1342       59.951380             5.174806 
    72      -1341       59.953900             5.234759 
    73      -1340       59.956420             5.294714 
    74      -1339       59.958940             5.354672 
    75      -1338       59.961460             5.414632 
    76      -1337       59.963980             5.474595 
    77      -1336       59.966500             5.534560 
    78      -1335       59.969020             5.594528 
    79      -1334       59.971540             5.654498 
    80      -1333       59.974060             5.714471 
    81      -1332       59.976580             5.774446 
    82      -1331       59.979100             5.834424 
    83      -1330       59.981620             5.894404 
    84      -1329       59.984140             5.954387 
    85      -1328       59.986660             6.014373 
    86      -1327       59.989180             6.074361 
    87      -1326       59.991700             6.134351 
    88      -1325       59.994220             6.194344 
    89      -1324       59.996739             6.254340 
    90      -1323       59.999259             6.314338 
    91      -1322       60.001779             6.374338 
    92      -1321       60.004299             6.434341 
    93      -1320       60.006819             6.494347 
    94      -1319       60.009338             6.554355 
    95      -1318       60.011858             6.614365 
    96      -1317       60.014378             6.674378 
    97      -1316       60.016897             6.734394 
    98      -1315       60.019417             6.794412 
    99      -1314       60.021937             6.854433 
   100      -1313       60.024456             6.914456 
   101      -1312       60.026976             6.974482 
   102      -1311       60.029495             7.034510 
   103      -1310       60.032015             7.094541 
   104      -1309       60.034535             7.154574 
   105      -1308       60.037054             7.214610 
   106      -1307       60.039574             7.274648 
   107      -1306       60.042093             7.334689 
   108      -1305       60.044613             7.394732 
   109      -1304       60.047132             7.454778 
   110      -1303       60.049651             7.514827 
   111      -1302       60.052171             7.574878 
   112      -1301       60.054690             7.634931 
   113      -1300       60.057210             7.694987 
   114      -1299       60.059729             7.755045 
   115      -1298       60.062248             7.815106 
   116      -1297       60.064768             7.875170 
   117      -1296       60.067287             7.935236 
   118      -1295       60.069806             7.995304 
   119      -1294       60.072326             8.055376 
   120      -1293       60.074845             8.115449 
   121      -1292       60.077364             8.175525 
   122      -1291       60.079883             8.235604 
   123      -1290       60.082402             8.295685 
   124      -1289       60.084922             8.355769 
   125      -1288       60.087441             8.415855 
